,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3
0,193.1999969482422,188.19862147570666,-1.0,-1.0,1003735.0006103516,-1.0,-1.0,1003735.0006103516,1.0,1.0,903400.0015258789
1,190.36000061035156,189.2055395100098,-1.0,-1.0,1001770.0042724609,-1.0,0.0,1003735.0006103516,-1.0,-1.0,1000544.9981689453
2,191.24000549316406,193.72692755215644,1.0,1.0,999630.0048828125,1.0,1.0,1001595.0012207031,-1.0,-1.0,996880.0048828125
3,183.5399932861328,190.20136956449562,1.0,1.0,1000040.0085449219,1.0,0.0,1001595.0012207031,-1.0,-1.0,995580.0018310547
4,171.2100067138672,186.65094421234883,1.0,1.0,1000000.0076293945,1.0,0.0,1001595.0012207031,-1.0,-1.0,988965.0039672852
5,179.47000122070312,184.65574766568238,1.0,1.0,1001565.0100708008,1.0,0.0,1001595.0012207031,-1.0,-1.0,994700.0045776367
6,177.64999389648438,182.50013393583876,1.0,1.0,999215.0115966797,1.0,0.0,1001595.0012207031,-1.0,-1.0,989875.0
7,158.5,170.40994116900285,1.0,1.0,1000005.012512207,1.0,0.0,1001595.0012207031,-1.0,-1.0,983440.0024414062
8,168.72000122070312,173.08640457862683,1.0,1.0,1003560.0128173828,1.0,0.0,1001595.0012207031,-1.0,-1.0,991315.0024414062
9,151.13999938964844,156.89475566984768,1.0,1.0,1003995.0103759766,1.0,0.0,1001595.0012207031,-1.0,-1.0,979404.9987792969
10,155.75,161.04910514836482,1.0,1.0,1005065.0100708008,1.0,0.0,1001595.0012207031,-1.0,-1.0,982345.0012207031
11,148.4600067138672,149.0954640302289,1.0,1.0,1005075.0045776367,1.0,0.0,1001595.0012207031,-1.0,-1.0,977639.9993896484
12,146.9199981689453,148.80201460176906,1.0,1.0,1007740.0054931641,1.0,0.0,1001595.0012207031,-1.0,-1.0,979525.0015258789
13,154.82000732421875,158.26344072538393,1.0,1.0,1003745.002746582,1.0,0.0,1001595.0012207031,-1.0,-1.0,976815.0024414062
14,141.3300018310547,142.46942872049442,1.0,1.0,1000950.0045776367,1.0,0.0,1001595.0012207031,-1.0,-1.0,971270.0042724609
15,144.83999633789062,146.33033084823754,1.0,1.0,1005795.0057983398,1.0,0.0,1001595.0012207031,-1.0,-1.0,980665.0009155273
16,159.32000732421875,144.9616214259436,-1.0,-1.0,1004565.0100708008,-1.0,-1.0,1000365.0054931641,-1.0,-1.0,984290.0009155273
17,162.0800018310547,153.1540269482964,-1.0,-1.0,1001165.0085449219,-1.0,0.0,1000365.0054931641,-1.0,-1.0,987840.0039672852
18,161.0800018310547,160.03244675771853,-1.0,-1.0,1000925.0106811523,-1.0,0.0,1000365.0054931641,-1.0,-1.0,984180.0003051758
19,161.0399932861328,158.36814455482045,-1.0,-1.0,998660.0036621094,-1.0,0.0,1000365.0054931641,-1.0,-1.0,986185.0051879883
